MedicationCui,MedicationStr,ClassCui,ClassStr
C0004057,aspirin,C0003419,"Agents, Antipyretic"
C0004057,aspirin,C0003419,Antifebrile Agents
C0004057,aspirin,C0003419,"Agents, Antifebrile"
C0004057,aspirin,C0004057,aspirin
C0004057,aspirin,C0004057,aspirins
C0004057,aspirin,C0004057,Acetylsalicylic Acid
C0004057,aspirin,C0004057,"Acid, Acetylsalicylic"
C0004057,aspirin,C0004057,2-(Acetyloxy)benzoic Acid
C0004057,aspirin,C0004057,"Benzoic acid, 2-(acetyloxy)-"
C0004057,aspirin,C0004057,Antiplatelet aspirin
C0004057,aspirin,C0004057,Aspirin [antiplatelet]
C0004057,aspirin,C0004057,aspirin antiplatelet
C0004057,aspirin,C0004057,Aspirin [CNS]
C0004057,aspirin,C0004057,ASA
C0004057,aspirin,C0004057,Aspirin [central nervous system use]
C0004057,aspirin,C0004057,Aspirin [musculoskeletal use]
C0004057,aspirin,C0004057,Azetylsalizylsäure
C0004057,aspirin,C0004057,o-acetoxybenzoic acid
C0004057,aspirin,C0004057,Acidum acetylsalicylicum
C0004057,aspirin,C0004057,o-carboxyphenyl acetate
C0004057,aspirin,C0004057,2-Acetoxybenzoic acid
C0004057,aspirin,C0004057,O-acetylsalicylic acid
C0004057,aspirin,C0004057,2-Acetoxybenzenecarboxylic acid
C0004057,aspirin,C0004057,acide 2-(acétyloxy)benzoïque
C0004057,aspirin,C0004057,Salicylic acid acetate
C0004057,aspirin,C0004057,Acide acétylsalicylique
C0004057,aspirin,C0004057,ácido acetilsalicílico
C0004057,aspirin,C0004057,Acetylsalicylsäure
C0004057,aspirin,C0004057,Product containing aspirin (medicinal product)
C0004057,aspirin,C0004057,Aspirin-containing product
C0004057,aspirin,C0004057,Product containing aspirin
C0004057,aspirin,C0004057,Aspirina
C0004057,aspirin,C0004057,Acetylsalicylic acid - chemical
C0004057,aspirin,C0004057,Antiplatelet aspirin (product)
C0004057,aspirin,C0004057,Antiplatelet aspirin (substance)
C0004057,aspirin,C0004057,Aspirin [central nervous system use] (product)
C0004057,aspirin,C0004057,Aspirin [central nervous system use] (substance)
C0004057,aspirin,C0004057,aspirin chemicals
C0004057,aspirin,C0004057,Aspirin - chemical
C0004057,aspirin,C0004057,Aspirin [musculoskeletal use] (product)
C0004057,aspirin,C0004057,Aspirin [musculoskeletal use] (substance)
C0004057,aspirin,C0004057,aspirin products
C0004057,aspirin,C0004057,Aspirin (product)
C0004057,aspirin,C0004057,Aspirin product
C0004057,aspirin,C0004057,Aspirin product (substance)
C0004057,aspirin,C0004057,Aspirin (substance)
C0004057,aspirin,C0004057,aspirin (medication)
C0004057,aspirin,C0004057,Aspirin - chemical (substance)
C0004057,aspirin,C0016018,Fibrinolytic Agents
C0004057,aspirin,C0016018,fibrinolytic agent
C0004057,aspirin,C0016018,"Fibrinolytic agent, NOS"
C0004057,aspirin,C0016018,"Agent, Fibrinolytic"
C0004057,aspirin,C0016018,Antithrombotic Agent
C0004057,aspirin,C0016018,Thrombolytic Agents
C0004057,aspirin,C0016018,thrombolytic agent
C0004057,aspirin,C0016018,"Thrombolytic agent, NOS"
C0004057,aspirin,C0016018,"Agent, Thrombolytic"
C0004057,aspirin,C0016018,Fibrinolytic Drugs
C0004057,aspirin,C0016018,"Drug, Fibrinolytic"
C0004057,aspirin,C0016018,Fibrinolytic Drug
C0004057,aspirin,C0016018,Thrombolytic Drugs
C0004057,aspirin,C0016018,thrombolytic drug
C0004057,aspirin,C0016018,"Drug, Thrombolytic"
C0004057,aspirin,C0016018,THROMBOLYTICS
C0004057,aspirin,C0016018,thrombolytic
C0004057,aspirin,C0016018,A74 THROMBOLYTIC AGENTS
C0004057,aspirin,C0016018,Medicinal product acting as thrombolytic (product)
C0004057,aspirin,C0016018,Medicinal product acting as thrombolytic agent (product)
C0004057,aspirin,C0016018,Thrombolytic agent (product)
C0004057,aspirin,C0016018,Thrombolytic agent (substance)
C0004057,aspirin,C0016018,Fibrinolytic drugs (product)
C0004057,aspirin,C0016018,Fibrinolytic drugs (substance)
C0004057,aspirin,C0016018,Thrombolytic (product)
C0004057,aspirin,C0016018,Thrombolytic (substance)
C0004057,aspirin,C0016018,hematological agents thrombolytics
C0004057,aspirin,C0016018,thrombolytics (medication)
C0004057,aspirin,C0032177,Platelet Aggregation Inhibitors
C0004057,aspirin,C0032177,platelet aggregation inhibitor
C0004057,aspirin,C0032177,aggregation inhibitor platelet
C0004057,aspirin,C0032177,"Aggregation Inhibitor, Platelet"
C0004057,aspirin,C0032177,"Inhibitor, Platelet Aggregation"
C0004057,aspirin,C0032177,"Aggregation Inhibitors, Platelet"
C0004057,aspirin,C0032177,"Inhibitors, Platelet Aggregation"
C0004057,aspirin,C0032177,Blood Platelet Aggregation Inhibitors
C0004057,aspirin,C0032177,Blood Platelet Aggregation Inhibitor
C0004057,aspirin,C0032177,Blood Platelet Antiaggregants
C0004057,aspirin,C0032177,"Antiaggregant, Blood Platelet"
C0004057,aspirin,C0032177,Blood Platelet Antiaggregant
C0004057,aspirin,C0032177,"Platelet Antiaggregant, Blood"
C0004057,aspirin,C0032177,"Antiaggregants, Blood Platelet"
C0004057,aspirin,C0032177,Platelet Antiaggregants
C0004057,aspirin,C0032177,"Antiaggregant, Platelet"
C0004057,aspirin,C0032177,Platelet Antiaggregant
C0004057,aspirin,C0032177,"Antiaggregants, Platelet"
C0004057,aspirin,C0032177,Product containing platelet aggregation inhibitor (product)
C0004057,aspirin,C0032177,Platelet aggregation inhibitor-containing product
C0004057,aspirin,C0032177,Substance with platelet aggregation inhibitor mechanism of action (substance)
C0004057,aspirin,C0032177,PLATELET AGGREGATION INHIB
C0004057,aspirin,C0032177,BLOOD PLATELET AGGREGATION INHIB
C0004057,aspirin,C0036075,salicylate
C0004057,aspirin,C0036075,Salicylate (substance)
C0004057,aspirin,C0036077,Salicylates
C0004057,aspirin,C0036077,Salicylate
C0004057,aspirin,C0036077,"Salicylate, NOS"
C0004057,aspirin,C0036077,Salicylate product
C0004057,aspirin,C0036077,products salicylates
C0004057,aspirin,C0036077,Salicylate (product)
C0004057,aspirin,C0036077,Product containing salicylate (product)
C0004057,aspirin,C0036077,Salicylate-containing product
C0004057,aspirin,C0036077,Product containing salicylate
C0004057,aspirin,C0036077,Salicylate product (product)
C0004057,aspirin,C0036077,Salicylate product (substance)
C0004057,aspirin,C0036077,Salicylate (substance)
C0004057,aspirin,C0036077,salicylates (medication)
C0004057,aspirin,C0085387,Cyclooxygenase Inhibitors
C0004057,aspirin,C0085387,Cyclooxygenase inhibitor
C0004057,aspirin,C0085387,"Inhibitor, Cyclooxygenase"
C0004057,aspirin,C0085387,"Inhibitors, Cyclooxygenase"
C0004057,aspirin,C0085387,Prostaglandin Synthesis Antagonists
C0004057,aspirin,C0085387,"Antagonist, Prostaglandin Synthesis"
C0004057,aspirin,C0085387,Prostaglandin Synthesis Antagonist
C0004057,aspirin,C0085387,"Synthesis Antagonist, Prostaglandin"
C0004057,aspirin,C0085387,"Antagonists, Prostaglandin Synthesis"
C0004057,aspirin,C0085387,Prostaglandin Endoperoxide Synthase Inhibitors
C0004057,aspirin,C0085387,Prostaglandin-endoperoxide synthase inhibitor
C0004057,aspirin,C0085387,Prostaglandin Endoperoxide Synthase Inhibitor
C0004057,aspirin,C0085387,"Inhibitors, Prostaglandin Endoperoxide Synthase"
C0004057,aspirin,C0085387,"Inhibitors, Prostaglandin-Endoperoxide Synthase"
C0004057,aspirin,C0085387,Prostaglandin Synthase Inhibitors
C0004057,aspirin,C0085387,inhibitors prostaglandin synthase
C0004057,aspirin,C0085387,"Inhibitor, Prostaglandin Synthase"
C0004057,aspirin,C0085387,Prostaglandin Synthase Inhibitor
C0004057,aspirin,C0085387,"Synthase Inhibitor, Prostaglandin"
C0004057,aspirin,C0085387,"Inhibitors, Prostaglandin Synthase"
C0004057,aspirin,C0085387,Prostaglandin G/H Synthase Inhibitor
C0004057,aspirin,C0085387,PTGS inhibitor
C0004057,aspirin,C0085387,Substance with prostaglandin-endoperoxide synthase inhibitor mechanism of action (substance)
C0004057,aspirin,C0085387,Cyclo-Oxygenase Inhibitors
C0004057,aspirin,C0085387,Cyclo Oxygenase Inhibitors
C0004057,aspirin,C0085387,Cyclo Oxygenase Inhibitor
C0004057,aspirin,C0085387,Cyclo-Oxygenase Inhibitor
C0004057,aspirin,C0085387,"Inhibitor, Cyclo-Oxygenase"
C0004057,aspirin,C0085387,"Inhibitors, Cyclo Oxygenase"
C0004057,aspirin,C0085387,"Inhibitors, Cyclo-Oxygenase"
C0004057,aspirin,C0085387,PG SYN ANTAG
C0004057,aspirin,C0085387,CYCLO OXYGENASE INHIB
C0004057,aspirin,C0085387,INHIB CYCLO OXYGENASE
C0004057,aspirin,C0085387,CYCLOOXYGENASE INHIB
C0004057,aspirin,C0085387,INHIB CYCLOOXYGENASE
C0004057,aspirin,C0085387,INHIB PG ENDOPEROXIDE SYNTHASE
C0004057,aspirin,C0085387,PG ENDOPEROXIDE SYNTHASE INHIB
C0004057,aspirin,C0085387,INHIB PG SYNTHASE
C0004057,aspirin,C0085387,PG SYNTHASE INHIB
C0004057,aspirin,C0085387,COX inhibitor
C0004057,aspirin,C0085387,Clyclooxygenases Inhibitor
C0004057,aspirin,C0085826,Antiplatelet Agents
C0004057,aspirin,C0085826,antiplatelet agent
C0004057,aspirin,C0085826,"Agent, Antiplatelet"
C0004057,aspirin,C0085826,"Agents, Antiplatelet"
C0004057,aspirin,C0085826,Antiplatelet Drugs
C0004057,aspirin,C0085826,drugs antiplatelet
C0004057,aspirin,C0085826,antiplatelet drug
C0004057,aspirin,C0085826,antiplatelets drugs
C0004057,aspirin,C0085826,"Drug, Antiplatelet"
C0004057,aspirin,C0085826,"Drugs, Antiplatelet"
C0004057,aspirin,C0085826,Medicinal product acting as antiplatelet agent (product)
C0004057,aspirin,C0085826,Antiplatelet agent (product)
C0004057,aspirin,C0085826,Antiplatelet agent (substance)
C0004057,aspirin,C0085826,hematological agents antiplatelet
C0004057,aspirin,C0085826,antiplatelet agents (medication)
C0004057,aspirin,C0280004,Analgesic AND antipyretic
C0004057,aspirin,C0280004,Antipyretic and Analgesic
C0004057,aspirin,C0280004,"Analgesic and antipyretic, NOS"
C0004057,aspirin,C0280004,analgesic antipyretic
C0004057,aspirin,C0280004,analgesics antipyretics
C0004057,aspirin,C0280004,MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
C0004057,aspirin,C0280004,601 MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
C0004057,aspirin,C0280004,analgesic and antipyretic product
C0004057,aspirin,C0280004,Analgesic AND antipyretic product (product)
C0004057,aspirin,C0280004,Analgesic AND antipyretic product (substance)
C0004057,aspirin,C0280004,Analgesic AND antipyretic (substance)
C0004057,aspirin,C0360271,Drug groups primarily affecting the musculoskeletal system
C0004057,aspirin,C0360271,Drug gps affect musc-skel syst
C0004057,aspirin,C0360271,Drug groups primarily affecting the musculoskeletal system (product)
C0004057,aspirin,C0360271,Drug groups primarily affecting the musculoskeletal system (substance)
C0004057,aspirin,C0578495,Salicylic acid and derivatives
C0004057,aspirin,C0578495,Salicylic acid and salicylic acid derivative (substance)
C0004057,aspirin,C0578495,Salicylic acid and salicylic acid derivative
C0004057,aspirin,C0578495,Salicylic acid and/or salicylic acid derivative
C0004057,aspirin,C0578495,Salicylic acid and/or salicylic acid derivative (substance)
C0004057,aspirin,C0578495,Salicylic acid and derivatives (substance)
C0004057,aspirin,C0740721,Drug problem
C0004057,aspirin,C0740721,drug problems
C0004057,aspirin,C0740721,drugs problems
C0004057,aspirin,C0740721,drugs problem
C0004057,aspirin,C0740721,DRUG
C0004320,auranofin,C0003191,Antirheumatic Agents
C0004320,auranofin,C0003191,antirheumatic agent
C0004320,auranofin,C0003191,"Agent, Antirheumatic"
C0004320,auranofin,C0003191,Antirheumatic Drugs
C0004320,auranofin,C0003191,antirheumatic drug
C0004320,auranofin,C0003191,"Drug, Antirheumatic"
C0004320,auranofin,C0003191,ANTIRHEUMATICS
C0004320,auranofin,C0003191,Antirheumatic
C0004320,auranofin,C0003191,Medicinal product acting as antirheumatic agent (product)
C0004320,auranofin,C0003191,Anti-rheumatic agent (product)
C0004320,auranofin,C0003191,Anti-rheumatic agent (substance)
C0004320,auranofin,C0003191,Anti-Rheumatic Agents
C0004320,auranofin,C0003191,"Anti-rheumatic agent, NOS"
C0004320,auranofin,C0003191,Anti Rheumatic Agents
C0004320,auranofin,C0003191,"Agent, Anti-Rheumatic"
C0004320,auranofin,C0003191,Anti Rheumatic Agent
C0004320,auranofin,C0003191,Anti-Rheumatic Agent
C0004320,auranofin,C0003191,Anti-Rheumatic Drugs
C0004320,auranofin,C0003191,anti rheumatic drugs
C0004320,auranofin,C0003191,anti rheumatic drug
C0004320,auranofin,C0003191,Anti-Rheumatic Drug
C0004320,auranofin,C0003191,"Drug, Anti-Rheumatic"
C0004320,auranofin,C0003191,Antirheumatic Agent [TC]
C0004320,auranofin,C0018026,gold
C0004320,auranofin,C0018026,Golds
C0004320,auranofin,C0018026,"Gold, NOS"
C0004320,auranofin,C0018026,"Medicinal gold, NOS"
C0004320,auranofin,C0018026,MEDICINAL GOLD
C0004320,auranofin,C0018026,Gold product
C0004320,auranofin,C0018026,Au
C0004320,auranofin,C0018026,Assay of gold
C0004320,auranofin,C0018026,Au - Gold
C0004320,auranofin,C0018026,B82 MEDICINAL GOLD
C0004320,auranofin,C0018026,Product containing medicinal gold
C0004320,auranofin,C0018026,Product containing medicinal gold (medicinal product)
C0004320,auranofin,C0018026,Product containing gold (product)
C0004320,auranofin,C0018026,Gold-containing product
C0004320,auranofin,C0018026,Product containing gold
C0004320,auranofin,C0018026,Product containing gold (medicinal product)
C0004320,auranofin,C0018026,Au element
C0004320,auranofin,C0018026,Medicinal gold (product)
C0004320,auranofin,C0018026,Medicinal gold (substance)
C0004320,auranofin,C0018026,Gold (substance)
C0004320,auranofin,C0018026,gold (medication)
C0004320,auranofin,C0018026,gold in a drug form
C0004320,auranofin,C0018026,gold drug
C0004320,auranofin,C0021081,Immunosuppressive Agents
C0004320,auranofin,C0021081,"Immunosuppressive agent, NOS"
C0004320,auranofin,C0021081,"Agent, Immunosuppressive"
C0004320,auranofin,C0021081,Immunosuppressive Agent
C0004320,auranofin,C0021081,"Agents, Immunosuppressive"
C0004320,auranofin,C0021081,Immunosuppressant agent
C0004320,auranofin,C0021081,Immunosuppressant Agents
C0004320,auranofin,C0021081,"Immunosuppressant agent, NOS"
C0004320,auranofin,C0021081,immunosuppressive
C0004320,auranofin,C0021081,Immunosuppressives
C0004320,auranofin,C0021081,Immunosuppressants
C0004320,auranofin,C0021081,Immunosuppressant
C0004320,auranofin,C0021081,"Immunosupressant agent, NOS"
C0004320,auranofin,C0021081,79 IMMUNOSUPPRESSANTS
C0004320,auranofin,C0021081,Medicinal product acting as immunosuppressant (product)
C0004320,auranofin,C0021081,immunosuppressive_treatment_type
C0004320,auranofin,C0021081,immunosuppressive treatment type
C0004320,auranofin,C0021081,IMMUNE SUPPRESSANTS
C0004320,auranofin,C0021081,immune suppressant
C0004320,auranofin,C0021081,Immunosuppressant (product)
C0004320,auranofin,C0021081,Immunosuppressant (substance)
C0004320,auranofin,C0021081,immunosuppressive (medication)
C0004320,auranofin,C0206108,Gold Compounds
C0004320,auranofin,C0206108,"Gold compound, NOS"
C0004320,auranofin,C0206108,gold compound
C0004320,auranofin,C0206108,"Compounds, Gold"
C0004320,auranofin,C0206108,Gold compound (substance)
C0004320,auranofin,C0206108,GOLD CPDS
C0004320,auranofin,C0303411,Gold and/or gold compound-containing product
C0004320,auranofin,C0303411,GOLD AND GOLD COMPOUNDS
C0004320,auranofin,C0303411,Gold and gold compound
C0004320,auranofin,C0303411,Gold and its derivatives
C0004320,auranofin,C0303411,146 GOLD AND GOLD COMPOUNDS
C0004320,auranofin,C0303411,Gold and gold compound (substance)
C0004320,auranofin,C0303411,Gold and gold compound product
C0004320,auranofin,C0303411,Gold and gold compound-containing product
C0004320,auranofin,C0303411,Product containing gold and gold compound
C0004320,auranofin,C0303411,Product containing gold and gold compound (product)
C0004320,auranofin,C0303411,Product containing gold and/or gold compound (product)
C0004320,auranofin,C0303411,Gold and/or gold compound
C0004320,auranofin,C0303411,Gold and/or gold compound (substance)
C0004320,auranofin,C1527392,Immunomodulators
C0004320,auranofin,C1527392,immunomodulator
C0004320,auranofin,C1527392,Immunomodulator-containing product
C0004320,auranofin,C1527392,Product containing immunomodulator
C0004320,auranofin,C1527392,Product containing immunomodulator (product)
C0004320,auranofin,C1527392,Substance with immunomodulator mechanism of action
C0004320,auranofin,C1527392,Substance with immunomodulator mechanism of action (substance)
C0004320,auranofin,C1527392,Immunomodulator product
C0004320,auranofin,C1527392,Immunomodulator (product)
C0004320,auranofin,C1527392,Immunomodulator (substance)
C0004320,auranofin,C1527392,IMMUNOMOD
C0004320,auranofin,C1527392,immunomodulator (medication)
C0004320,auranofin,C2585247,Medicinal gold in oral dosage form
C0004320,auranofin,C2585247,Product containing medicinal gold in oral dosage form
C0004320,auranofin,C2585247,Product containing medicinal gold in oral dosage form (medicinal product form)
C0004320,auranofin,C2585247,Oral form medicinal gold (product)
C0004320,auranofin,C2585247,Oral form medicinal gold
C0004482,azathioprine,C0003191,Antirheumatic Agents
C0004482,azathioprine,C0003191,antirheumatic agent
C0004482,azathioprine,C0003191,"Agent, Antirheumatic"
C0004482,azathioprine,C0003191,Antirheumatic Drugs
C0004482,azathioprine,C0003191,antirheumatic drug
C0004482,azathioprine,C0003191,"Drug, Antirheumatic"
C0004482,azathioprine,C0003191,ANTIRHEUMATICS
C0004482,azathioprine,C0003191,Antirheumatic
C0004482,azathioprine,C0003191,Medicinal product acting as antirheumatic agent (product)
C0004482,azathioprine,C0003191,Anti-rheumatic agent (product)
C0004482,azathioprine,C0003191,Anti-rheumatic agent (substance)
C0004482,azathioprine,C0003191,Anti-Rheumatic Agents
C0004482,azathioprine,C0003191,"Anti-rheumatic agent, NOS"
C0004482,azathioprine,C0003191,Anti Rheumatic Agents
C0004482,azathioprine,C0003191,"Agent, Anti-Rheumatic"
C0004482,azathioprine,C0003191,Anti Rheumatic Agent
C0004482,azathioprine,C0003191,Anti-Rheumatic Agent
C0004482,azathioprine,C0003191,Anti-Rheumatic Drugs
C0004482,azathioprine,C0003191,anti rheumatic drugs
C0004482,azathioprine,C0003191,anti rheumatic drug
C0004482,azathioprine,C0003191,Anti-Rheumatic Drug
C0004482,azathioprine,C0003191,"Drug, Anti-Rheumatic"
C0004482,azathioprine,C0003191,Antirheumatic Agent [TC]
C0004482,azathioprine,C0003376,Antimetabolites
C0004482,azathioprine,C0003376,antimetabolite
C0004482,azathioprine,C0003376,"Antimetabolite, NOS"
C0004482,azathioprine,C0003376,Antimetabolite-containing product
C0004482,azathioprine,C0003376,Product containing antimetabolite
C0004482,azathioprine,C0003376,Product containing antimetabolite (product)
C0004482,azathioprine,C0003376,Antimetabolite product
C0004482,azathioprine,C0003376,Antimetabolite (product)
C0004482,azathioprine,C0003376,Antimetabolite (substance)
C0004482,azathioprine,C0003376,antimetabolites (medication)
C0004482,azathioprine,C0003377,"Antimetabolites, Antineoplastic"
C0004482,azathioprine,C0003377,"ANTINEOPLASTICS,ANTIMETABOLITES"
C0004482,azathioprine,C0003377,Antineoplastic Antimetabolites
C0004482,azathioprine,C0003377,ANTIMETAB ANTINEOPL
C0004482,azathioprine,C0003377,ANTINEOPL ANTIMETAB
C0004482,azathioprine,C0004482,azathioprine
C0004482,azathioprine,C0004482,ATP
C0004482,azathioprine,C0004482,Azothioprine
C0004482,azathioprine,C0004482,6-((1-Methyl-4-nitro-1H-imidazol-5-yl)thio)-1H-purine
C0004482,azathioprine,C0004482,"1H-Purine, 6-((1-methyl-4-nitro-1H-imidazol-5-yl)thio)-"
C0004482,azathioprine,C0004482,6-[(1-Methyl-4-nitro-1H-imidazol-5-yl)thio]-1H-purine
C0004482,azathioprine,C0004482,AZA
C0004482,azathioprine,C0004482,AZT - Azathioprine
C0004482,azathioprine,C0004482,Azathioprine [gastrointestinal]
C0004482,azathioprine,C0004482,Azathioprine [gi]
C0004482,azathioprine,C0004482,Azathioprine [immunosuppress]
C0004482,azathioprine,C0004482,Azathioprine [immunosuppressant]
C0004482,azathioprine,C0004482,6-(1'-Methyl-4'-nitro-5'-imidazolyl)-mercaptopurine
C0004482,azathioprine,C0004482,Azathioprine-containing product
C0004482,azathioprine,C0004482,Product containing azathioprine
C0004482,azathioprine,C0004482,Product containing azathioprine (medicinal product)
C0004482,azathioprine,C0004482,Azatioprina
C0004482,azathioprine,C0004482,Azamun
C0004482,azathioprine,C0004482,Azathioprinum
C0004482,azathioprine,C0004482,Azathioprine - chemical
C0004482,azathioprine,C0004482,Azathioprine [gastrointestinal] (product)
C0004482,azathioprine,C0004482,Azathioprine [gastrointestinal] (substance)
C0004482,azathioprine,C0004482,Azathioprine product
C0004482,azathioprine,C0004482,Azathioprine (product)
C0004482,azathioprine,C0004482,Azathioprine (substance)
C0004482,azathioprine,C0004482,AZTP
C0004482,azathioprine,C0004482,azathioprine (medication)
C0004482,azathioprine,C0004482,Azathioprine - chemical (substance)
C0004482,azathioprine,C0004482,Azathioprine [immunosuppressant] (product)
C0004482,azathioprine,C0004482,atps
C0004482,azathioprine,C0007090,Carcinogens
C0004482,azathioprine,C0007090,carcinogen
C0004482,azathioprine,C0007090,"Carcinogen, NOS"
C0004482,azathioprine,C0007090,Oncogens
C0004482,azathioprine,C0007090,oncogen
C0004482,azathioprine,C0007090,"Carcinogenic chemical, NOS"
C0004482,azathioprine,C0007090,carcinogenic chemicals
C0004482,azathioprine,C0007090,Carcinogenic chemical
C0004482,azathioprine,C0007090,"Oncogenic substance, NOS"
C0004482,azathioprine,C0007090,Oncogenic substance
C0004482,azathioprine,C0007090,Chemical Carcinogen
C0004482,azathioprine,C0007090,carcinogens chemical
C0004482,azathioprine,C0007090,Carcinogenic chemical compound
C0004482,azathioprine,C0007090,29 CARCINOGENS
C0004482,azathioprine,C0007090,Carcinogen (substance)
C0004482,azathioprine,C0007090,Cancer Causing Agents
C0004482,azathioprine,C0021081,Immunosuppressive Agents
C0004482,azathioprine,C0021081,"Immunosuppressive agent, NOS"
C0004482,azathioprine,C0021081,"Agent, Immunosuppressive"
C0004482,azathioprine,C0021081,Immunosuppressive Agent
C0004482,azathioprine,C0021081,"Agents, Immunosuppressive"
C0004482,azathioprine,C0021081,Immunosuppressant agent
C0004482,azathioprine,C0021081,Immunosuppressant Agents
C0004482,azathioprine,C0021081,"Immunosuppressant agent, NOS"
C0004482,azathioprine,C0021081,immunosuppressive
