Key | Superior Key | Key Cui | Superior Key Cui | Key Semantictype | Superior Key Semantictype | Key Location | Superior Key Location
> | age > 30 years | [C0439093] | [C4540778]| [ quantitative concept ]  |  [ finding ]  | 415828 | 415824
cardiac | cardiac ischaemia | [C1314974] | [C0010054, C0151744]| [ intellectual product ]  |  [ disease or syndrome ]  ;  [ disease or syndrome ]  | 220553 | 220553
poorly | poorly controlled | [C0205169] | [C3853134]| [ qualitative concept ]  |  [ functional concept ]  | 110884 | 110884
statistical | statistical analysis | [C0038215] | [C0871424]| [ occupation or discipline ]  |  [ research activity ]  | 105662 | 105662
role | role | [C1704326, C1705809, C1705810, C1705811, C1705812] | [C1704326, C1705809, C1705810, C1705811, C1705812]| [ intellectual product ]  ;  [ conceptual entity ]  ;  [ qualitative concept ]  ;  [ conceptual entity ]  ;  [ conceptual entity ]  |  [ intellectual product ]  ;  [ conceptual entity ]  ;  [ qualitative concept ]  ;  [ conceptual entity ]  ;  [ conceptual entity ]  | 37746 | 37746
weil | weil | [C0043102] | [C0043102]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 256399 | 256399
screening for malnutrition | screening for malnutrition | [C0260926] | [C0260926]| [ finding ]  |  [ finding ]  | 492383 | 492383
turn | turn | [C1709743] | [C1709743]| [ spatial concept ]  |  [ spatial concept ]  | 148426 | 148426
balanced | balanced | [C1511041] | [C1511041]| [ cell or molecular dysfunction ]  |  [ cell or molecular dysfunction ]  | 389759 | 389759
cen | cen | [C0338283] | [C0338283]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 169 | 169
example | example | [C1707959] | [C1707959]| [ conceptual entity ]  |  [ conceptual entity ]  | 24890 | 24890
result | as a result of | [C1274040] | [C0332282]| [ functional concept ]  |  [ temporal concept ]  | 119703 | 119698
received by | received by | [C1709850] | [C1709850]| [ qualitative concept ]  |  [ qualitative concept ]  | 225643 | 225643
ces | ces | [C0265493] | [C0265493]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 74 | 74
venous | venous beading | [C0348013] | [C2939143]| [ spatial concept ]  |  [ finding ]  | 433349 | 433349
american college of physicians | american college of physicians | [C1527272] | [C1527272]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 377760 | 377760
cer | cer | [C0237504] | [C0237504]| [ intellectual product ]  |  [ intellectual product ]  | 5439 | 5439
same | same | [C1692345] | [C1692345]| [ idea or concept ]  |  [ idea or concept ]  | 6522 | 6522
rapid-acting insulin | rapid-acting insulin | [C0356365] | [C0356365]| [ amino acid, peptide, or protein / pharmacologic substance / hormone ]  |  [ amino acid, peptide, or protein / pharmacologic substance / hormone ]  | 152518 | 152518
procedures | procedures | [C1550373] | [C1550373]| [ intellectual product ]  |  [ intellectual product ]  | 41683 | 41683
after | after a meal | [C0687676] | [C0376674]| [ temporal concept ]  |  [ temporal concept ]  | 348424 | 348424
hand | hand | [C1281583] | [C1281583]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 50514 | 50514
policy | policy makers | [C0242456] | [C0242170]| [ intellectual product ]  |  [ professional or occupational group ]  | 469347 | 469347
glucose | blood glucose monitoring | [C0337438] | [C1820407]| [ laboratory procedure ]  |  [ finding ]  | 185050 | 185044
address | address | [C1442065] | [C1442065]| [ intellectual product ]  |  [ intellectual product ]  | 39220 | 39220
salt | salt intake | [C0206136] | [C0489767]| [ food ]  |  [ organism attribute ]  | 159192 | 159192
asymptomatic | asymptomatic condition | [C0231221] | [C2936329]| [ finding ]  |  [ disease or syndrome ]  | 319618 | 319618
metformin | metformin and acarbose | [C0025598] | [C3871467]| [ organic chemical / pharmacologic substance ]  |  [ pharmacologic substance ]  | 58466 | 58466
child health | child health | [C0008078] | [C0008078]| [ health care activity ]  |  [ health care activity ]  | 287103 | 287103
eating | eating | [C0013470] | [C0013470]| [ organism function ]  |  [ organism function ]  | 45844 | 45844
ch1 | ch1 | [C1412930] | [C1412930]| [ gene or genome ]  |  [ gene or genome ]  | 184403 | 184403
blood | blood pressures | [C0851353] | [C1272641]| [ disease or syndrome ]  |  [ finding ]  | 112025 | 112025
beliefs | beliefs | [C0004951] | [C0004951]| [ mental process ]  |  [ mental process ]  | 139899 | 139899
high performance liquid chromatography | high performance liquid chromatography | [C0008562] | [C0008562]| [ laboratory procedure ]  |  [ laboratory procedure ]  | 340017 | 340017
urine albumin | urine albumin | [C2362049] | [C2362049]| [ amino acid, peptide, or protein ]  |  [ amino acid, peptide, or protein ]  | 168270 | 168270
thank | thank | [C1420816] | [C1420816]| [ gene or genome ]  |  [ gene or genome ]  | 79194 | 79194
fifth | fifth | [C0205439] | [C0205439]| [ quantitative concept ]  |  [ quantitative concept ]  | 28906 | 28906
labetalol | labetalol | [C0022860] | [C0022860]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 180004 | 180004
information | information technology | [C0870705] | [C0683867]| [ idea or concept ]  |  [ intellectual product ]  | 268566 | 268566
plasma | plasma glucose level | [C1546740, C1609077] | [C0455280]| [ intellectual product ]  ;  [ body substance ]  |  [ laboratory or test result ]  | 133813 | 133813
pharmacotherapies | pharmacotherapies | [C0013216] | [C0013216]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 310690 | 310690
surgery | surgery | [C1274039, C1457907] | [C1274039, C1457907]| [ biomedical occupation or discipline ]  ;  [ finding ]  |  [ biomedical occupation or discipline ]  ;  [ finding ]  | 16066 | 16066
adrenergic blockers | adrenergic blockers | [C0242889] | [C0242889]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 159380 | 159380
november | november | [C3828767] | [C3828767]| [ temporal concept ]  |  [ temporal concept ]  | 87900 | 87900
troglitazone | troglitazone | [C0245514] | [C0245514]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 90740 | 90740
good | good clinical practice | [C1551023, C1561563, C1610541] | [C2986419]| [ idea or concept ]  ;  [ qualitative concept ]  ;  [ idea or concept ]  |  [ intellectual product ]  | 493502 | 493502
ventricular | left ventricular hypertrophy | [C1522565] | [C0232306]| [ spatial concept ]  |  [ finding ]  | 205868 | 205863
obese | obese | [C0028754] | [C0028754]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 3525 | 3525
fundus | fundus photography | [C0740422] | [C0200189]| [ body part, organ, or organ component ]  |  [ diagnostic procedure ]  | 167353 | 167353
provocation | provocation | [C0449428] | [C0449428]| [ phenomenon or process ]  |  [ phenomenon or process ]  | 177792 | 177792
blood pressures | blood pressures | [C1272641] | [C1272641]| [ finding ]  |  [ finding ]  | 112025 | 112025
serious | serious adverse events | [C1551395, C1552745, C1561576] | [C5552809]| [ finding ]  ;  [ finding ]  ;  [ idea or concept ]  |  [ intellectual product ]  | 388781 | 388781
cha | cha | [C0574369] | [C0574369]| [ language ]  |  [ language ]  | 1742 | 1742
others | others | [C1955473] | [C1955473]| [ finding ]  |  [ finding ]  | 103761 | 103761
random number table | random number table | [C4684752] | [C4684752]| [ intellectual product ]  |  [ intellectual product ]  | 101000 | 101000
well-being | well-being | [C0018684] | [C0018684]| [ idea or concept ]  |  [ idea or concept ]  | 141148 | 141148
capillary | capillary plasma | [C1280521] | [C4329615]| [ body part, organ, or organ component ]  |  [ body substance ]  | 134738 | 134738
informative | informative | [C2986490] | [C2986490]| [ qualitative concept ]  |  [ qualitative concept ]  | 320401 | 320401
check | check | [C1283174] | [C1283174]| [ activity ]  |  [ activity ]  | 17575 | 17575
cho | cho | [C2248769] | [C2248769]| [ genetic function ]  |  [ genetic function ]  | 629 | 629
more often | more often | [C4330709] | [C4330709]| [ temporal concept ]  |  [ temporal concept ]  | 109233 | 109233
pollock | pollock | [C0453004] | [C0453004]| [ food ]  |  [ food ]  | 37159 | 37159
technol assess | technol assess | [C0039422] | [C0039422]| [ health care activity ]  |  [ health care activity ]  | 423058 | 423058
sang | sang | [C1864650] | [C1864650]| [ gene or genome ]  |  [ gene or genome ]  | 669 | 669
transplantation | transplantation | [C0040732, C0040733] | [C0040732, C0040733]| [ therapeutic or preventive procedure ]  ;  [ functional concept ]  |  [ therapeutic or preventive procedure ]  ;  [ functional concept ]  | 322111 | 322111
renal failure | renal failure | [C1963154] | [C1963154]| [ finding ]  |  [ finding ]  | 188815 | 188815
direct fundoscopy | direct fundoscopy | [C1444581] | [C1444581]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 167512 | 167512
functional assessment | functional assessment | [C0278372] | [C0278372]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 486556 | 486556
pre-meal | pre-meal | [C1546096] | [C1546096]| [ temporal concept ]  |  [ temporal concept ]  | 359549 | 359549
manuals | manuals | [C0024763] | [C0024763]| [ manufactured object / intellectual product ]  |  [ manufactured object / intellectual product ]  | 48104 | 48104
translating | translating | [C0040710] | [C0040710]| [ occupational activity ]  |  [ occupational activity ]  | 279291 | 279291
ascend | ascend | [C1962987] | [C1962987]| [ functional concept ]  |  [ functional concept ]  | 421819 | 421819
concentrations | concentrations | [C0086045] | [C0086045]| [ mental process ]  |  [ mental process ]  | 28827 | 28827
training and education | training and education | [C0582584] | [C0582584]| [ educational activity ]  |  [ educational activity ]  | 436625 | 436625
applied | applied | [C4048755] | [C4048755]| [ functional concept ]  |  [ functional concept ]  | 38490 | 38490
provided | provided | [C1999230] | [C1999230]| [ activity ]  |  [ activity ]  | 319 | 319
glomerular haematuria | glomerular haematuria | [C3267170] | [C3267170]| [ finding ]  |  [ finding ]  | 447308 | 447308
proactive | proactive | [C4744673] | [C4744673]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 367121 | 367121
general population | general population | [C0683971] | [C0683971]| [ population group ]  |  [ population group ]  | 295521 | 295521
representation | representation | [C1514861, C1882932] | [C1514861, C1882932]| [ conceptual entity ]  ;  [ activity ]  |  [ conceptual entity ]  ;  [ activity ]  | 242363 | 242363
peripheral vascular disease | peripheral vascular disease | [C0085096] | [C0085096]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 462377 | 462377
expanded | expanded | [C0205229] | [C0205229]| [ spatial concept ]  |  [ spatial concept ]  | 368171 | 368171
society | society | [C0037455] | [C0037455]| [ organization ]  |  [ organization ]  | 15476 | 15476
denmark | denmark | [C0011318] | [C0011318]| [ geographic area ]  |  [ geographic area ]  | 510662 | 510662
provider | provider | [C1138603] | [C1138603]| [ functional concept ]  |  [ functional concept ]  | 40636 | 40636
provides | provides | [C0359589] | [C0359589]| [ food ]  |  [ food ]  | 59419 | 59419
behavioral | behavioral interventions | [C0004927] | [C0004933]| [ behavior ]  |  [ therapeutic or preventive procedure ]  | 285413 | 285413
unable to | unable to | [C4048706] | [C4048706]| [ finding ]  |  [ finding ]  | 110386 | 110386
4 years | 4 years | [C5453208] | [C5453208]| [ temporal concept ]  |  [ temporal concept ]  | 68916 | 68916
effectiveness | effectiveness | [C1280519] | [C1280519]| [ qualitative concept ]  |  [ qualitative concept ]  | 41960 | 41960
approval | approval | [C2346845] | [C2346845]| [ intellectual product ]  |  [ intellectual product ]  | 22610 | 22610
multiple | multiple | [C0439064] | [C0439064]| [ quantitative concept ]  |  [ quantitative concept ]  | 10765 | 10765
room | room | [C1547120, C1547703] | [C1547120, C1547703]| [ spatial concept ]  ;  [ spatial concept ]  |  [ spatial concept ]  ;  [ spatial concept ]  | 79672 | 79672
emergency situations | emergency situations | [C0013956] | [C0013956]| [ phenomenon or process ]  |  [ phenomenon or process ]  | 190590 | 190590
palpation | palpation of foot | [C0030247] | [C2233855]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 171966 | 171966
better | better | [C1550462] | [C1550462]| [ idea or concept ]  |  [ idea or concept ]  | 27708 | 27708
tertiary care | tertiary care | [C3494403] | [C3494403]| [ health care activity ]  |  [ health care activity ]  | 165065 | 165065
translation | translation | [C1519614] | [C1519614]| [ genetic function ]  |  [ genetic function ]  | 317432 | 317432
well | well controlled | [C0205170] | [C3853142]| [ qualitative concept ]  |  [ functional concept ]  | 349318 | 349318
cancer | cancer | [C1306459] | [C1306459]| [ neoplastic process ]  |  [ neoplastic process ]  | 367253 | 367253
personnel | personnel | [C0700103] | [C0700103]| [ quantitative concept ]  |  [ quantitative concept ]  | 136798 | 136798
suitable | suitable | [C3900053] | [C3900053]| [ qualitative concept ]  |  [ qualitative concept ]  | 7007 | 7007
ckd | ckd | [C1561643] | [C1561643]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 200594 | 200594
pupils | pupils | [C0034121] | [C0034121]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 165510 | 165510
atlas | atlas | [C0349012] | [C0349012]| [ injury or poisoning ]  |  [ injury or poisoning ]  | 256427 | 256427
cm2 | cm2 | [C0439479, C0555206] | [C0439479, C0555206]| [ quantitative concept ]  ;  [ congenital abnormality ]  |  [ quantitative concept ]  ;  [ congenital abnormality ]  | 113280 | 113280
tme | tme | [C1273428] | [C1273428]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 962 | 962
subcutaneous | subcutaneous | [C1522438] | [C1522438]| [ functional concept ]  |  [ functional concept ]  | 156521 | 156521
investigators | investigators | [C0035173] | [C0035173]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 33467 | 33467
co-amoxiclav | co-amoxiclav | [C0054066] | [C0054066]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 174123 | 174123
graduate school | graduate school | [C0870614] | [C0870614]| [ manufactured object / organization ]  |  [ manufactured object / organization ]  | 3084 | 3084
flow | flow sheet | [C0806140] | [C0016262]| [ natural phenomenon or process ]  |  [ intellectual product ]  | 109869 | 109869
order | order | [C1373200] | [C1373200]| [ natural phenomenon or process ]  |  [ natural phenomenon or process ]  | 19183 | 19183
cooperation | cooperation | [C0392337] | [C0392337]| [ social behavior ]  |  [ social behavior ]  | 496437 | 496437
social support | social support | [C0748877] | [C0748877]| [ group ]  |  [ group ]  | 186141 | 186141
thiazolidine | thiazolidine | [C1721064] | [C1721064]| [ organic chemical ]  |  [ organic chemical ]  | 18183 | 18183
considering | considering | [C0750591] | [C0750591]| [ idea or concept ]  |  [ idea or concept ]  | 19093 | 19093
inter | inter | [C1548610] | [C1548610]| [ temporal concept ]  |  [ temporal concept ]  | 971 | 971
question of | question of | [C0332147] | [C0332147]| [ qualitative concept ]  |  [ qualitative concept ]  | 320214 | 320214
all other | all other | [C5425799] | [C5425799]| [ finding ]  |  [ finding ]  | 106436 | 106436
every 6 months | every 6 months | [C0585339] | [C0585339]| [ temporal concept ]  |  [ temporal concept ]  | 169488 | 169488
resonance | resonance | [C0459800] | [C0459800]| [ natural phenomenon or process ]  |  [ natural phenomenon or process ]  | 463479 | 463479
n a | n a | [C1272460] | [C1272460]| [ qualitative concept ]  |  [ qualitative concept ]  | 50 | 50
seoul | seoul | [C3850150] | [C3850150]| [ geographic area ]  |  [ geographic area ]  | 1075 | 1075
anal | anal | [C0003461] | [C0003461]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 6647 | 6647
patient education | patient education | [C0030688] | [C0030688]| [ educational activity ]  |  [ educational activity ]  | 138205 | 138205
transparency | transparency | [C0522503] | [C0522503]| [ qualitative concept ]  |  [ qualitative concept ]  | 72255 | 72255
pittas | pittas | [C0326342, C0326343] | [C0326342, C0326343]| [ bird ]  ;  [ bird ]  |  [ bird ]  ;  [ bird ]  | 380159 | 380159
orders | orders | [C3244315] | [C3244315]| [ intellectual product ]  |  [ intellectual product ]  | 292654 | 292654
managers | managers | [C0335141] | [C0335141]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 275905 | 275905
women | women | [C0043210] | [C0043210]| [ population group ]  |  [ population group ]  | 5008 | 5008
glaxosmithkline | glaxosmithkline | [C1552903] | [C1552903]| [ health care related organization ]  |  [ health care related organization ]  | 190871 | 190871
save | save | [C2347840] | [C2347840]| [ machine activity ]  |  [ machine activity ]  | 468677 | 468677
protection | protection | [C1545588] | [C1545588]| [ finding ]  |  [ finding ]  | 140298 | 140298
mandatory | mandatory | [C1514873, C1554132, C1619643] | [C1514873, C1554132, C1619643]| [ functional concept ]  ;  [ intellectual product ]  ;  [ intellectual product ]  |  [ functional concept ]  ;  [ intellectual product ]  ;  [ intellectual product ]  | 328948 | 328948
agency for healthcare research and quality | agency for healthcare research and quality | [C0080268] | [C0080268]| [ health care related organization ]  |  [ health care related organization ]  | 40177 | 40177
cameras | cameras | [C0179533] | [C0179533]| [ manufactured object ]  |  [ manufactured object ]  | 435091 | 435091
ton | ton | [C0439216] | [C0439216]| [ quantitative concept ]  |  [ quantitative concept ]  | 30906 | 30906
weight reduction | weight reduction | [C1262477] | [C1262477]| [ finding ]  |  [ finding ]  | 144818 | 144818
conjunction | conjunction | [C2699427] | [C2699427]| [ idea or concept ]  |  [ idea or concept ]  | 20916 | 20916
syndrome | syndrome | [C0039082] | [C0039082]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 10996 | 10996
2-3 | 2-3 | [C1519042] | [C1519042]| [ research activity ]  |  [ research activity ]  | 132388 | 132388
haemoglobinopathies | haemoglobinopathies | [C0019045] | [C0019045]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 333936 | 333936
smoking habits | smoking habits | [C4505437] | [C4505437]| [ individual behavior ]  |  [ individual behavior ]  | 104120 | 104120
diabetic kidney disease | diabetic kidney disease | [C0011881] | [C0011881]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 200174 | 200174
question | question of | [C1522634] | [C0332147]| [ intellectual product ]  |  [ qualitative concept ]  | 320214 | 320214
drugs | drugs indicated | [C0013227] | [C1277226]| [ pharmacologic substance ]  |  [ finding ]  | 201203 | 201203
asian | asian | [C0078988] | [C0078988]| [ population group ]  |  [ population group ]  | 10563 | 10563
picture | picture | [C0441468, C0441469] | [C0441468, C0441469]| [ manufactured object ]  ;  [ manufactured object ]  |  [ manufactured object ]  ;  [ manufactured object ]  | 273630 | 273630
randomized controlled trial | randomized controlled trial | [C1096777] | [C1096777]| [ intellectual product ]  |  [ intellectual product ]  | 11165 | 11165
field study | field study | [C0596572] | [C0596572]| [ research activity ]  |  [ research activity ]  | 423701 | 423701
reminded | reminded | [C0557033] | [C0557033]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 129883 | 129883
moderate exercise | moderate exercise | [C1513375] | [C1513375]| [ daily or recreational activity ]  |  [ daily or recreational activity ]  | 181345 | 181345
communities | communities | [C0009462] | [C0009462]| [ group ]  |  [ group ]  | 468747 | 468747
reticulocyte count | reticulocyte count | [C1318442] | [C1318442]| [ laboratory or test result ]  |  [ laboratory or test result ]  | 331054 | 331054
com | com | [C0206008, C0279321] | [C0206008, C0279321]| [ organic chemical / pharmacologic substance ]  ;  [ therapeutic or preventive procedure ]  |  [ organic chemical / pharmacologic substance ]  ;  [ therapeutic or preventive procedure ]  | 131 | 131
col | col | [C1552844, C1704808] | [C1552844, C1704808]| [ intellectual product ]  ;  [ finding ]  |  [ intellectual product ]  ;  [ finding ]  | 1019 | 1019
inhibitors | inhibitors | [C0243077] | [C0243077]| [ chemical viewed functionally ]  |  [ chemical viewed functionally ]  | 3911 | 3911
con | con | [C4724102] | [C4724102]| [ intellectual product ]  |  [ intellectual product ]  | 3103 | 3103
minor | minor | [C1417837, C1446899] | [C1417837, C1446899]| [ gene or genome ]  ;  [ disease or syndrome ]  |  [ gene or genome ]  ;  [ disease or syndrome ]  | 117016 | 117016
prc1 | prc1 | [C1418870] | [C1418870]| [ gene or genome ]  |  [ gene or genome ]  | 182807 | 182807
prc2 | prc2 | [C3494414] | [C3494414]| [ amino acid, peptide, or protein / enzyme ]  |  [ amino acid, peptide, or protein / enzyme ]  | 183013 | 183013
findings | findings | [C3539655] | [C3539655]| [ intellectual product ]  |  [ intellectual product ]  | 119829 | 119829
age > 30 years | age > 30 years | [C4540778] | [C4540778]| [ finding ]  |  [ finding ]  | 415824 | 415824
upon | upon | [C1720176] | [C1720176]| [ functional concept ]  |  [ functional concept ]  | 98760 | 98760
class ii | class ii obesity | [C0441886] | [C1556380]| [ intellectual product ]  |  [ finding ]  | 5240 | 5240
kg/cm2 | kg/cm2 | [C2346616] | [C2346616]| [ quantitative concept ]  |  [ quantitative concept ]  | 113277 | 113277
depressive symptoms | depressive symptoms | [C0086132] | [C0086132]| [ sign or symptom ]  |  [ sign or symptom ]  | 297917 | 297917
perindopril | perindopril | [C0136123] | [C0136123]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 388946 | 388946
prac | prac | [C1853292] | [C1853292]| [ gene or genome ]  |  [ gene or genome ]  | 441 | 441
less than | less than 35 | [C0439092] | [C3843322]| [ quantitative concept ]  |  [ finding ]  | 15787 | 15787
identical | identical | [C0205280] | [C0205280]| [ qualitative concept ]  |  [ qualitative concept ]  | 374578 | 374578
functional capacity | functional capacity | [C1998319] | [C1998319]| [ finding ]  |  [ finding ]  | 485858 | 485858
life experiences | life experiences | [C0023672] | [C0023672]| [ phenomenon or process ]  |  [ phenomenon or process ]  | 276169 | 276169
academic | academic | [C1510747] | [C1510747]| [ organization ]  |  [ organization ]  | 121099 | 121099
quality improvement | quality improvement | [C2936612] | [C2936612]| [ occupational activity ]  |  [ occupational activity ]  | 116484 | 116484
function | renal function tests | [C1315032] | [C0022662]| [ intellectual product ]  |  [ laboratory procedure ]  | 154029 | 154023
lak | lak | [C1538265, C1824201] | [C1538265, C1824201]| [ gene or genome ]  ;  [ gene or genome ]  |  [ gene or genome ]  ;  [ gene or genome ]  | 234265 | 234265
alcohol intake | alcohol intake | [C0001948] | [C0001948]| [ individual behavior ]  |  [ individual behavior ]  | 159205 | 159205
employer | employer | [C1274022] | [C1274022]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 226109 | 226109
clinicians | clinicians | [C0871685] | [C0871685]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 77318 | 77318
serum lipids | serum lipids | [C1287373] | [C1287373]| [ laboratory or test result ]  |  [ laboratory or test result ]  | 161375 | 161375
lar | lar | [C1419115] | [C1419115]| [ gene or genome ]  |  [ gene or genome ]  | 3039 | 3039
gastroparesis | gastroparesis | [C0152020] | [C0152020]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 177560 | 177560
calcium channel | calcium channel blockers | [C1153433] | [C0006684]| [ molecular function ]  |  [ pharmacologic substance ]  | 160618 | 160618
tra | tra | [C0524890] | [C0524890]| [ gene or genome ]  |  [ gene or genome ]  | 3896 | 3896
law | law | [C0728724] | [C0728724]| [ regulation or law ]  |  [ regulation or law ]  | 171606 | 171606
