MedicationCui,MedicationStr,ClassCui,ClassStr
C0000992,acetohexamide,C0038766,Product containing sulfonylurea (product)
C0000992,acetohexamide,C0038766,Sulfonylurea and sulfonylurea derivative (substance)
C0000992,acetohexamide,C0038766,Sulfonylurea and sulfonylurea derivative
C0000992,acetohexamide,C0038766,Sulfonylurea derivatives
C0000992,acetohexamide,C0038766,Sulfonylurea and its derivatives (substance)
C0000992,acetohexamide,C0038766,Sulfonylurea [dup] (substance)
C0000992,acetohexamide,C0038766,Sulfonylurea (substance)
C0000992,acetohexamide,C0038766,SULFONYLUREA CPDS
C0000992,acetohexamide,C0038766,sulfonylureas (medication)
C0000992,acetohexamide,C0038766,oral hypoglycemics sulfonylureas
C0000992,acetohexamide,C0806478,Sulfonyluric hypoglycemic
C0000992,acetohexamide,C0806478,Hypoglycemics.sulfonyluric
C0000992,acetohexamide,C0806478,Sulfonyluric hypoglycemic (substance)
C0000992,acetohexamide,C0806478,Sulphonyluric hypoglycaemic
C0000992,acetohexamide,C1300197,First generation sulfonylurea
C0000992,acetohexamide,C1300197,First generation sulphonylurea
C0000992,acetohexamide,C1300197,First generation sulfonylurea (product)
C0000992,acetohexamide,C3273710,Sulfonylurea Antidiabetic Agent
C0000992,acetohexamide,C3273710,Sulphonylurea Antidiabetic Agent
C0000992,acetohexamide,C3273710,Sulfonylurea
C0008287,chlorpropamide,C0008287,chlorpropamide
C0008287,chlorpropamide,C0008287,Clorpropamid
C0008287,chlorpropamide,C0008287,4-chloro-N-((propylamino)carbonyl)benzenesulfonamide
C0008287,chlorpropamide,C0008287,"Benzenesulfonamide, 4-chloro-N-((propylamino)carbonyl)-"
C0008287,chlorpropamide,C0008287,4-chloro-N-[(propylamino)carbonyl]benzenesulfonamide
C0008287,chlorpropamide,C0008287,1-(p-chlorophenylsulfonyl)-3-propylurea
C0008287,chlorpropamide,C0008287,1-propyl-3-(p-chlorobenzenesulfonyl)urea
C0008287,chlorpropamide,C0008287,1-(p-chlorobenzenesulfonyl)-3-propylurea
C0008287,chlorpropamide,C0008287,Chlorpropamid
C0008287,chlorpropamide,C0008287,Chlorpropamidum
C0008287,chlorpropamide,C0008287,n-propyl-N'-(p-chlorobenzenesulfonyl)urea
C0008287,chlorpropamide,C0008287,n-propyl-N'-p-chlorophenylsulfonylcarbamide
C0008287,chlorpropamide,C0008287,Clorpropamida
C0008287,chlorpropamide,C0008287,N-(4-chlorophenylsulfonyl)-N'-propylurea
C0008287,chlorpropamide,C0008287,N-(p-chlorobenzenesulfonyl)-N'-propylurea
C0008287,chlorpropamide,C0008287,Product containing chlorpropamide (medicinal product)
C0008287,chlorpropamide,C0008287,Chlorpropamide-containing product
C0008287,chlorpropamide,C0008287,Product containing chlorpropamide
C0008287,chlorpropamide,C0008287,chlorpropamide (medication)
C0008287,chlorpropamide,C0008287,Chlorpropamide product
C0008287,chlorpropamide,C0008287,Chlorpropamide (product)
C0008287,chlorpropamide,C0008287,Chlorpropamide (substance)
C0008287,chlorpropamide,C0008287,"Urea, 1-((p-chlorophenyl)sulfonyl)-3-propyl-"
C0008287,chlorpropamide,C0008287,4-Chloro-4-((propylamino)carbonyl)benzenesulfonamide
C0008287,chlorpropamide,C0020616,Hypoglycemic Agents
C0008287,chlorpropamide,C0020616,hypoglycemic agent
C0008287,chlorpropamide,C0020616,Hypoglycaemic agent
C0008287,chlorpropamide,C0020616,"Agent, Hypoglycemic"
C0008287,chlorpropamide,C0020616,"Agents, Hypoglycemic"
C0008287,chlorpropamide,C0020616,Hypoglycemic Drugs
C0008287,chlorpropamide,C0020616,Hypoglycemic drug
C0008287,chlorpropamide,C0020616,"Hypoglycemic drug, NOS"
C0008287,chlorpropamide,C0020616,"Hypoglycaemic drug, NOS"
C0008287,chlorpropamide,C0020616,"Drug, Hypoglycemic"
C0008287,chlorpropamide,C0020616,Hypoglycaemic drug
C0008287,chlorpropamide,C0020616,"Drugs, Hypoglycemic"
C0008287,chlorpropamide,C0020616,Hypoglycemics
C0008287,chlorpropamide,C0020616,hypoglycaemic
C0008287,chlorpropamide,C0020616,hypoglycemic
C0008287,chlorpropamide,C0020616,Drugs for hypoglycaemia
C0008287,chlorpropamide,C0020616,Drugs for hypoglycemia
C0008287,chlorpropamide,C0020616,Antihyperglycemic Agents
C0008287,chlorpropamide,C0020616,"Agent, Antihyperglycemic"
C0008287,chlorpropamide,C0020616,Antihyperglycemic Agent
C0008287,chlorpropamide,C0020616,"Agents, Antihyperglycemic"
C0008287,chlorpropamide,C0020616,Hypoglycemic agent (product)
C0008287,chlorpropamide,C0020616,Hypoglycemic agent (substance)
C0008287,chlorpropamide,C0020616,Drugs for hypoglycemia (product)
C0008287,chlorpropamide,C0020616,Drugs for hypoglycemia (substance)
C0008287,chlorpropamide,C0020616,Hypoglycemic drug (substance)
C0008287,chlorpropamide,C0020616,Hypoglycemic product
C0008287,chlorpropamide,C0020616,Hypoglycaemic product
C0008287,chlorpropamide,C0020616,Hypoglycemic product (product)
C0008287,chlorpropamide,C0020616,Anti-hyperglycemics
C0008287,chlorpropamide,C0020616,Antihyperglycemics
C0008287,chlorpropamide,C0020616,antihyperglycemic
C0008287,chlorpropamide,C0020616,Hypoglycemic Medicines
C0008287,chlorpropamide,C0020616,Diabetes Medicines
C0008287,chlorpropamide,C0038766,Sulfonylurea Compounds
C0008287,chlorpropamide,C0038766,Sulphonylurea compounds
C0008287,chlorpropamide,C0038766,"Compounds, Sulfonylurea"
C0008287,chlorpropamide,C0038766,Sulfonylurea
C0008287,chlorpropamide,C0038766,SULFONYLUREAS
C0008287,chlorpropamide,C0038766,"Sulfonylurea, NOS"
C0008287,chlorpropamide,C0038766,Sulphonylurea
C0008287,chlorpropamide,C0038766,sulphonylureas
C0008287,chlorpropamide,C0038766,Sulphonylurea product
C0008287,chlorpropamide,C0038766,Sulfonylurea product
C0008287,chlorpropamide,C0038766,Sulfonylurea (product)
C0008287,chlorpropamide,C0038766,Sulphonylurea and its derivs
C0008287,chlorpropamide,C0038766,Sulfonylurea and its derivs
C0008287,chlorpropamide,C0038766,Sulphonylurea and its derivatives
C0008287,chlorpropamide,C0038766,Sulfonylurea and its derivatives
C0008287,chlorpropamide,C0038766,A24 SULFONYLUREAS
C0008287,chlorpropamide,C0038766,Sulfonylurea-containing product
C0008287,chlorpropamide,C0038766,Product containing sulfonylurea
C0008287,chlorpropamide,C0038766,Product containing sulfonylurea (medicinal product)
C0008287,chlorpropamide,C0038766,Product containing sulfonylurea (product)
C0008287,chlorpropamide,C0038766,Sulfonylurea and sulfonylurea derivative (substance)
C0008287,chlorpropamide,C0038766,Sulfonylurea and sulfonylurea derivative
C0008287,chlorpropamide,C0038766,Sulfonylurea derivatives
C0008287,chlorpropamide,C0038766,Sulfonylurea and its derivatives (substance)
C0008287,chlorpropamide,C0038766,Sulfonylurea [dup] (substance)
C0008287,chlorpropamide,C0038766,Sulfonylurea (substance)
C0008287,chlorpropamide,C0038766,SULFONYLUREA CPDS
C0008287,chlorpropamide,C0038766,sulfonylureas (medication)
C0008287,chlorpropamide,C0038766,oral hypoglycemics sulfonylureas
C0008287,chlorpropamide,C0806478,Sulfonyluric hypoglycemic
C0008287,chlorpropamide,C0806478,Hypoglycemics.sulfonyluric
C0008287,chlorpropamide,C0806478,Sulfonyluric hypoglycemic (substance)
C0008287,chlorpropamide,C0806478,Sulphonyluric hypoglycaemic
C0008287,chlorpropamide,C1300197,First generation sulfonylurea
C0008287,chlorpropamide,C1300197,First generation sulphonylurea
C0008287,chlorpropamide,C1300197,First generation sulfonylurea (product)
C0008287,chlorpropamide,C3273710,Sulfonylurea Antidiabetic Agent
C0008287,chlorpropamide,C3273710,Sulphonylurea Antidiabetic Agent
C0008287,chlorpropamide,C3273710,Sulfonylurea
C0017628,glyburide,C0017628,glyburide
C0017628,glyburide,C0017628,glibenclamide
C0017628,glyburide,C0017628,Glybenclamide
C0017628,glyburide,C0017628,"Benzamide, 5-chloro-N-(2-(4-((((cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-2-methoxy-"
C0017628,glyburide,C0017628,Glybenzcyclamide
C0017628,glyburide,C0017628,1-(p-(2-(5-chloro-2-methoxybenzamido)ethyl)benzenesulfonyl)-3-cyclohexylurea
C0017628,glyburide,C0017628,Glibenclamida
C0017628,glyburide,C0017628,Glibenclamidum
C0017628,glyburide,C0017628,1-((p-(2-(5-chloro-o-anisamido)ethyl)phenyl)sulfonyl)-3-cyclohexylurea
C0017628,glyburide,C0017628,5-chloro-N-(2-(4-((((cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-2-methoxybenzamide
C0017628,glyburide,C0017628,Product containing glibenclamide (medicinal product)
C0017628,glyburide,C0017628,Glibenclamide-containing product
C0017628,glyburide,C0017628,Product containing glibenclamide
C0017628,glyburide,C0017628,Glyburide-containing product
C0017628,glyburide,C0017628,Product containing glyburide
C0017628,glyburide,C0017628,Glibenclamide product
C0017628,glyburide,C0017628,Glibenclamide (substance)
C0017628,glyburide,C0017628,Glyburide product
C0017628,glyburide,C0017628,Glyburide (product)
C0017628,glyburide,C0017628,Glyburide (substance)
C0017628,glyburide,C0017628,Gyburide
C0017628,glyburide,C0017628,glyburide (medication)
C0017628,glyburide,C0020616,Hypoglycemic Agents
C0017628,glyburide,C0020616,hypoglycemic agent
C0017628,glyburide,C0020616,Hypoglycaemic agent
C0017628,glyburide,C0020616,"Agent, Hypoglycemic"
C0017628,glyburide,C0020616,"Agents, Hypoglycemic"
C0017628,glyburide,C0020616,Hypoglycemic Drugs
C0017628,glyburide,C0020616,Hypoglycemic drug
C0017628,glyburide,C0020616,"Hypoglycemic drug, NOS"
C0017628,glyburide,C0020616,"Hypoglycaemic drug, NOS"
C0017628,glyburide,C0020616,"Drug, Hypoglycemic"
C0017628,glyburide,C0020616,Hypoglycaemic drug
C0017628,glyburide,C0020616,"Drugs, Hypoglycemic"
C0017628,glyburide,C0020616,Hypoglycemics
C0017628,glyburide,C0020616,hypoglycaemic
C0017628,glyburide,C0020616,hypoglycemic
C0017628,glyburide,C0020616,Drugs for hypoglycaemia
C0017628,glyburide,C0020616,Drugs for hypoglycemia
C0017628,glyburide,C0020616,Antihyperglycemic Agents
C0017628,glyburide,C0020616,"Agent, Antihyperglycemic"
C0017628,glyburide,C0020616,Antihyperglycemic Agent
C0017628,glyburide,C0020616,"Agents, Antihyperglycemic"
C0017628,glyburide,C0020616,Hypoglycemic agent (product)
C0017628,glyburide,C0020616,Hypoglycemic agent (substance)
C0017628,glyburide,C0020616,Drugs for hypoglycemia (product)
C0017628,glyburide,C0020616,Drugs for hypoglycemia (substance)
C0017628,glyburide,C0020616,Hypoglycemic drug (substance)
C0017628,glyburide,C0020616,Hypoglycemic product
C0017628,glyburide,C0020616,Hypoglycaemic product
C0017628,glyburide,C0020616,Hypoglycemic product (product)
C0017628,glyburide,C0020616,Anti-hyperglycemics
C0017628,glyburide,C0020616,Antihyperglycemics
C0017628,glyburide,C0020616,antihyperglycemic
C0017628,glyburide,C0020616,Hypoglycemic Medicines
C0017628,glyburide,C0020616,Diabetes Medicines
C0017628,glyburide,C0038766,Sulfonylurea Compounds
C0017628,glyburide,C0038766,Sulphonylurea compounds
C0017628,glyburide,C0038766,"Compounds, Sulfonylurea"
C0017628,glyburide,C0038766,Sulfonylurea
C0017628,glyburide,C0038766,SULFONYLUREAS
C0017628,glyburide,C0038766,"Sulfonylurea, NOS"
C0017628,glyburide,C0038766,Sulphonylurea
C0017628,glyburide,C0038766,sulphonylureas
C0017628,glyburide,C0038766,Sulphonylurea product
C0017628,glyburide,C0038766,Sulfonylurea product
C0017628,glyburide,C0038766,Sulfonylurea (product)
C0017628,glyburide,C0038766,Sulphonylurea and its derivs
C0017628,glyburide,C0038766,Sulfonylurea and its derivs
C0017628,glyburide,C0038766,Sulphonylurea and its derivatives
C0017628,glyburide,C0038766,Sulfonylurea and its derivatives
C0017628,glyburide,C0038766,A24 SULFONYLUREAS
C0017628,glyburide,C0038766,Sulfonylurea-containing product
C0017628,glyburide,C0038766,Product containing sulfonylurea
C0017628,glyburide,C0038766,Product containing sulfonylurea (medicinal product)
C0017628,glyburide,C0038766,Product containing sulfonylurea (product)
C0017628,glyburide,C0038766,Sulfonylurea and sulfonylurea derivative (substance)
C0017628,glyburide,C0038766,Sulfonylurea and sulfonylurea derivative
C0017628,glyburide,C0038766,Sulfonylurea derivatives
C0017628,glyburide,C0038766,Sulfonylurea and its derivatives (substance)
C0017628,glyburide,C0038766,Sulfonylurea [dup] (substance)
C0017628,glyburide,C0038766,Sulfonylurea (substance)
C0017628,glyburide,C0038766,SULFONYLUREA CPDS
C0017628,glyburide,C0038766,sulfonylureas (medication)
C0017628,glyburide,C0038766,oral hypoglycemics sulfonylureas
C0017628,glyburide,C0806478,Sulfonyluric hypoglycemic
C0017628,glyburide,C0806478,Hypoglycemics.sulfonyluric
C0017628,glyburide,C0806478,Sulfonyluric hypoglycemic (substance)
C0017628,glyburide,C0806478,Sulphonyluric hypoglycaemic
C0017628,glyburide,C1300198,Second generation sulfonylurea
C0017628,glyburide,C1300198,Second generation sulphonylurea
C0017628,glyburide,C1300198,Second generation sulfonylurea (product)
C0017628,glyburide,C3273710,Sulfonylurea Antidiabetic Agent
C0017628,glyburide,C3273710,Sulphonylurea Antidiabetic Agent
C0017628,glyburide,C3273710,Sulfonylurea
C0017642,glipizide,C0017642,glipizide
C0017642,glipizide,C0017642,Glydiazinamide
C0017642,glipizide,C0017642,Glypidizine
C0017642,glipizide,C0017642,Glidiazinamide
C0017642,glipizide,C0017642,"Pyrazinecarboxamide, N-(2-(4-((((cyclohexylamino)carbonyl)amino)sulfonyl)phenyl)ethyl)-5-methyl-"
C0017642,glipizide,C0017642,Glipizide product
C0017642,glipizide,C0017642,Glipizide (product)
C0017642,glipizide,C0017642,Glipizida
C0017642,glipizide,C0017642,Glipizidum
C0017642,glipizide,C0017642,N-{4-[β-(5-methylpyrazine-2-carboxamido)ethyl]benzenesulphonyl}-N'-cyclohexylurea
C0017642,glipizide,C0017642,1-cyclohexyl-3-({p-[2-(5-methylpyrazinecarboxamido)ethyl]phenyl}sulfonyl)urea
C0017642,glipizide,C0017642,Product containing glipizide (medicinal product)
C0017642,glipizide,C0017642,Glipizide-containing product
C0017642,glipizide,C0017642,Product containing glipizide
C0017642,glipizide,C0017642,Glipizide (substance)
C0017642,glipizide,C0017642,glipizide (medication)
C0017642,glipizide,C0020616,Hypoglycemic Agents
C0017642,glipizide,C0020616,hypoglycemic agent
C0017642,glipizide,C0020616,Hypoglycaemic agent
C0017642,glipizide,C0020616,"Agent, Hypoglycemic"
C0017642,glipizide,C0020616,"Agents, Hypoglycemic"
C0017642,glipizide,C0020616,Hypoglycemic Drugs
C0017642,glipizide,C0020616,Hypoglycemic drug
C0017642,glipizide,C0020616,"Hypoglycemic drug, NOS"
C0017642,glipizide,C0020616,"Hypoglycaemic drug, NOS"
C0017642,glipizide,C0020616,"Drug, Hypoglycemic"
C0017642,glipizide,C0020616,Hypoglycaemic drug
C0017642,glipizide,C0020616,"Drugs, Hypoglycemic"
C0017642,glipizide,C0020616,Hypoglycemics
C0017642,glipizide,C0020616,hypoglycaemic
C0017642,glipizide,C0020616,hypoglycemic
C0017642,glipizide,C0020616,Drugs for hypoglycaemia
C0017642,glipizide,C0020616,Drugs for hypoglycemia
C0017642,glipizide,C0020616,Antihyperglycemic Agents
C0017642,glipizide,C0020616,"Agent, Antihyperglycemic"
C0017642,glipizide,C0020616,Antihyperglycemic Agent
C0017642,glipizide,C0020616,"Agents, Antihyperglycemic"
C0017642,glipizide,C0020616,Hypoglycemic agent (product)
C0017642,glipizide,C0020616,Hypoglycemic agent (substance)
C0017642,glipizide,C0020616,Drugs for hypoglycemia (product)
C0017642,glipizide,C0020616,Drugs for hypoglycemia (substance)
C0017642,glipizide,C0020616,Hypoglycemic drug (substance)
C0017642,glipizide,C0020616,Hypoglycemic product
C0017642,glipizide,C0020616,Hypoglycaemic product
C0017642,glipizide,C0020616,Hypoglycemic product (product)
C0017642,glipizide,C0020616,Anti-hyperglycemics
C0017642,glipizide,C0020616,Antihyperglycemics
C0017642,glipizide,C0020616,antihyperglycemic
C0017642,glipizide,C0020616,Hypoglycemic Medicines
C0017642,glipizide,C0020616,Diabetes Medicines
C0017642,glipizide,C0038766,Sulfonylurea Compounds
C0017642,glipizide,C0038766,Sulphonylurea compounds
C0017642,glipizide,C0038766,"Compounds, Sulfonylurea"
C0017642,glipizide,C0038766,Sulfonylurea
C0017642,glipizide,C0038766,SULFONYLUREAS
C0017642,glipizide,C0038766,"Sulfonylurea, NOS"
C0017642,glipizide,C0038766,Sulphonylurea
C0017642,glipizide,C0038766,sulphonylureas
C0017642,glipizide,C0038766,Sulphonylurea product
C0017642,glipizide,C0038766,Sulfonylurea product
C0017642,glipizide,C0038766,Sulfonylurea (product)
C0017642,glipizide,C0038766,Sulphonylurea and its derivs
C0017642,glipizide,C0038766,Sulfonylurea and its derivs
C0017642,glipizide,C0038766,Sulphonylurea and its derivatives
C0017642,glipizide,C0038766,Sulfonylurea and its derivatives
C0017642,glipizide,C0038766,A24 SULFONYLUREAS
C0017642,glipizide,C0038766,Sulfonylurea-containing product
C0017642,glipizide,C0038766,Product containing sulfonylurea
C0017642,glipizide,C0038766,Product containing sulfonylurea (medicinal product)
C0017642,glipizide,C0038766,Product containing sulfonylurea (product)
C0017642,glipizide,C0038766,Sulfonylurea and sulfonylurea derivative (substance)
C0017642,glipizide,C0038766,Sulfonylurea and sulfonylurea derivative
C0017642,glipizide,C0038766,Sulfonylurea derivatives
C0017642,glipizide,C0038766,Sulfonylurea and its derivatives (substance)
C0017642,glipizide,C0038766,Sulfonylurea [dup] (substance)
C0017642,glipizide,C0038766,Sulfonylurea (substance)
C0017642,glipizide,C0038766,SULFONYLUREA CPDS
C0017642,glipizide,C0038766,sulfonylureas (medication)
C0017642,glipizide,C0038766,oral hypoglycemics sulfonylureas
C0017642,glipizide,C0806478,Sulfonyluric hypoglycemic
C0017642,glipizide,C0806478,Hypoglycemics.sulfonyluric
C0017642,glipizide,C0806478,Sulfonyluric hypoglycemic (substance)
C0017642,glipizide,C0806478,Sulphonyluric hypoglycaemic
C0017642,glipizide,C1300198,Second generation sulfonylurea
C0017642,glipizide,C1300198,Second generation sulphonylurea
C0017642,glipizide,C1300198,Second generation sulfonylurea (product)
C0017642,glipizide,C3273710,Sulfonylurea Antidiabetic Agent
C0017642,glipizide,C3273710,Sulphonylurea Antidiabetic Agent
C0017642,glipizide,C3273710,Sulfonylurea
C0025598,metformin,C0020616,Hypoglycemic Agents
C0025598,metformin,C0020616,hypoglycemic agent
C0025598,metformin,C0020616,Hypoglycaemic agent
C0025598,metformin,C0020616,"Agent, Hypoglycemic"
C0025598,metformin,C0020616,"Agents, Hypoglycemic"
C0025598,metformin,C0020616,Hypoglycemic Drugs
C0025598,metformin,C0020616,Hypoglycemic drug
C0025598,metformin,C0020616,"Hypoglycemic drug, NOS"
C0025598,metformin,C0020616,"Hypoglycaemic drug, NOS"
C0025598,metformin,C0020616,"Drug, Hypoglycemic"
C0025598,metformin,C0020616,Hypoglycaemic drug
C0025598,metformin,C0020616,"Drugs, Hypoglycemic"
C0025598,metformin,C0020616,Hypoglycemics
C0025598,metformin,C0020616,hypoglycaemic
C0025598,metformin,C0020616,hypoglycemic
C0025598,metformin,C0020616,Drugs for hypoglycaemia
C0025598,metformin,C0020616,Drugs for hypoglycemia
C0025598,metformin,C0020616,Antihyperglycemic Agents
C0025598,metformin,C0020616,"Agent, Antihyperglycemic"
C0025598,metformin,C0020616,Antihyperglycemic Agent
C0025598,metformin,C0020616,"Agents, Antihyperglycemic"
C0025598,metformin,C0020616,Hypoglycemic agent (product)
C0025598,metformin,C0020616,Hypoglycemic agent (substance)
C0025598,metformin,C0020616,Drugs for hypoglycemia (product)
C0025598,metformin,C0020616,Drugs for hypoglycemia (substance)
C0025598,metformin,C0020616,Hypoglycemic drug (substance)
C0025598,metformin,C0020616,Hypoglycemic product
C0025598,metformin,C0020616,Hypoglycaemic product
C0025598,metformin,C0020616,Hypoglycemic product (product)
C0025598,metformin,C0020616,Anti-hyperglycemics
C0025598,metformin,C0020616,Antihyperglycemics
C0025598,metformin,C0020616,antihyperglycemic
C0025598,metformin,C0020616,Hypoglycemic Medicines
C0025598,metformin,C0020616,Diabetes Medicines
C0025598,metformin,C1516463,Chemopreventive Agent
C0025598,metformin,C1627747,Biguanide oral hypoglycemic agent
C0025598,metformin,C1627747,Biguanide oral hypoglycaemic agent
C0025598,metformin,C1627747,Biguanide oral hypoglycemic agent (substance)
C0025598,metformin,C4317165,biguanide
C0025598,metformin,C4317165,Biguanide Antidiabetic Agent
C0025598,metformin,C4317165,Product containing biguanide (product)
C0025598,metformin,C4317165,Biguanide-containing product
C0025598,metformin,C4317165,Product containing biguanide
C0025598,metformin,C4317165,Biguanide product
C0025598,metformin,C4317165,Biguanide (product)
C0025598,metformin,C4317165,Biguanide (substance)
C0040372,tolazamide,C0020616,Hypoglycemic Agents
C0040372,tolazamide,C0020616,hypoglycemic agent
C0040372,tolazamide,C0020616,Hypoglycaemic agent
C0040372,tolazamide,C0020616,"Agent, Hypoglycemic"
C0040372,tolazamide,C0020616,"Agents, Hypoglycemic"
C0040372,tolazamide,C0020616,Hypoglycemic Drugs
C0040372,tolazamide,C0020616,Hypoglycemic drug
C0040372,tolazamide,C0020616,"Hypoglycemic drug, NOS"
C0040372,tolazamide,C0020616,"Hypoglycaemic drug, NOS"
C0040372,tolazamide,C0020616,"Drug, Hypoglycemic"
C0040372,tolazamide,C0020616,Hypoglycaemic drug
C0040372,tolazamide,C0020616,"Drugs, Hypoglycemic"
C0040372,tolazamide,C0020616,Hypoglycemics
C0040372,tolazamide,C0020616,hypoglycaemic
C0040372,tolazamide,C0020616,hypoglycemic
C0040372,tolazamide,C0020616,Drugs for hypoglycaemia
C0040372,tolazamide,C0020616,Drugs for hypoglycemia
C0040372,tolazamide,C0020616,Antihyperglycemic Agents
C0040372,tolazamide,C0020616,"Agent, Antihyperglycemic"
C0040372,tolazamide,C0020616,Antihyperglycemic Agent
C0040372,tolazamide,C0020616,"Agents, Antihyperglycemic"
C0040372,tolazamide,C0020616,Hypoglycemic agent (product)
C0040372,tolazamide,C0020616,Hypoglycemic agent (substance)
C0040372,tolazamide,C0020616,Drugs for hypoglycemia (product)
C0040372,tolazamide,C0020616,Drugs for hypoglycemia (substance)
C0040372,tolazamide,C0020616,Hypoglycemic drug (substance)
C0040372,tolazamide,C0020616,Hypoglycemic product
C0040372,tolazamide,C0020616,Hypoglycaemic product
C0040372,tolazamide,C0020616,Hypoglycemic product (product)
C0040372,tolazamide,C0020616,Anti-hyperglycemics
