Key | Superior Key | Key Cui | Superior Key Cui | Key Semantictype | Superior Key Semantictype | Key Location | Superior Key Location
seropositive ra | seropositive ra | [C0409651] | [C0409651]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 201234 | 201234
problem-solving skills | problem-solving skills training | [C0815099] | [C4724042]| [ individual behavior ]  |  [ health care activity ]  | 238051 | 238051
effectiveness | effectiveness of interventions | [C1280519] | [C1512173]| [ qualitative concept ]  |  [ clinical attribute ]  | 176757 | 176757
pilot | pilot | [C1414316] | [C1414316]| [ gene or genome ]  |  [ gene or genome ]  | 111300 | 111300
citation | citation | [C0552371] | [C0552371]| [ intellectual product ]  |  [ intellectual product ]  | 443787 | 443787
disease course | disease course | [C0242656] | [C0242656]| [ pathologic function ]  |  [ pathologic function ]  | 238116 | 238116
approval | approval | [C2346845] | [C2346845]| [ intellectual product ]  |  [ intellectual product ]  | 32412 | 32412
multiple | multiple sclerosis | [C0439064] | [C0026769]| [ quantitative concept ]  |  [ disease or syndrome ]  | 82573 | 82573
new agents | new agents | [C1518316] | [C1518316]| [ classification ]  |  [ classification ]  | 156618 | 156618
bone loss | bone loss | [C0029453] | [C0029453]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 167328 | 167328
better | better | [C1550462] | [C1550462]| [ idea or concept ]  |  [ idea or concept ]  | 38123 | 38123
tween | tween | [C0041420] | [C0041420]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 18783 | 18783
lymph node | lymph node swelling | [C1269047] | [C4282165]| [ body part, organ, or organ component ]  |  [ sign or symptom ]  | 148948 | 148948
forefoot | forefoot | [C1510667, C1533572, C1630649] | [C1510667, C1533572, C1630649]| [ body part, organ, or organ component ]  ;  [ body part, organ, or organ component ]  ;  [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  ;  [ body part, organ, or organ component ]  ;  [ body part, organ, or organ component ]  | 271169 | 271169
avon | avon | [C0454839] | [C0454839]| [ geographic area ]  |  [ geographic area ]  | 271100 | 271100
well | well | [C0205170] | [C0205170]| [ qualitative concept ]  |  [ qualitative concept ]  | 12154 | 12154
cancer | cancer recurrence | [C1306459] | [C0920420]| [ neoplastic process ]  |  [ neoplastic process ]  | 116777 | 116777
personnel | personnel | [C0700103] | [C0700103]| [ quantitative concept ]  |  [ quantitative concept ]  | 71649 | 71649
suitable | suitable | [C3900053] | [C3900053]| [ qualitative concept ]  |  [ qualitative concept ]  | 126174 | 126174
new orleans | new orleans | [C2350583] | [C2350583]| [ geographic area ]  |  [ geographic area ]  | 169173 | 169173
outlook | outlook | [C0004271] | [C0004271]| [ mental process ]  |  [ mental process ]  | 224981 | 224981
refractory | refractory | [C0205269] | [C0205269]| [ functional concept ]  |  [ functional concept ]  | 94992 | 94992
skin cancer | skin cancer | [C0007114] | [C0007114]| [ neoplastic process ]  |  [ neoplastic process ]  | 64078 | 64078
menses | menses | [C0559892] | [C0559892]| [ finding ]  |  [ finding ]  | 148268 | 148268
physiotherapists | physiotherapists | [C2362565] | [C2362565]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 228666 | 228666
subcutaneous | subcutaneous injections | [C1522438] | [C0021499]| [ functional concept ]  |  [ functional concept ]  | 105149 | 105149
investigators | investigators | [C0035173] | [C0035173]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 103998 | 103998
tocilizumab | tocilizumab | [C1609165] | [C1609165]| [ amino acid, peptide, or protein / pharmacologic substance / immunologic factor ]  |  [ amino acid, peptide, or protein / pharmacologic substance / immunologic factor ]  | 17354 | 17354
fearing | fearing | [C0015726] | [C0015726]| [ mental process ]  |  [ mental process ]  | 233392 | 233392
block | block | [C1533157, C1706083, C1706084, C1706085] | [C1533157, C1706083, C1706084, C1706085]| [ body substance ]  ;  [ quantitative concept ]  ;  [ geographic area ]  ;  [ biomedical or dental material ]  |  [ body substance ]  ;  [ quantitative concept ]  ;  [ geographic area ]  ;  [ biomedical or dental material ]  | 106478 | 106478
chronic hepatitis b infection | chronic hepatitis b infection | [C0524909] | [C0524909]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 111758 | 111758
flow | flow chart | [C0806140] | [C0016262]| [ natural phenomenon or process ]  |  [ intellectual product ]  | 50937 | 50937
order | order | [C1373200] | [C1373200]| [ natural phenomenon or process ]  |  [ natural phenomenon or process ]  | 34439 | 34439
therapist | therapist | [C0871525] | [C0871525]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 135893 | 135893
social support | social support | [C0748877] | [C0748877]| [ group ]  |  [ group ]  | 183283 | 183283
diagnos | diagnos | [C0011900] | [C0011900]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 13146 | 13146
considering | considering | [C0750591] | [C0750591]| [ idea or concept ]  |  [ idea or concept ]  | 31445 | 31445
pain assessments | pain assessments | [C0030198] | [C0030198]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 134203 | 134203
inter | inter | [C1548610] | [C1548610]| [ temporal concept ]  |  [ temporal concept ]  | 4765 | 4765
all other | all other | [C5425799] | [C5425799]| [ finding ]  |  [ finding ]  | 170554 | 170554
resonance | magnetic resonance imaging | [C0459800] | [C0024485]| [ natural phenomenon or process ]  |  [ diagnostic procedure ]  | 98787 | 98778
tnf | tnf blockers | [C1168005, C1448177, C1456820] | [C3537192]| [ laboratory procedure ]  ;  [ amino acid, peptide, or protein / biologically active substance ]  ;  [ amino acid, peptide, or protein / immunologic factor ]  |  [ pharmacologic substance ]  | 122807 | 122807
n a | n a | [C1272460] | [C1272460]| [ qualitative concept ]  |  [ qualitative concept ]  | 1418 | 1418
hypertrichosis | hypertrichosis | [C0020555] | [C0020555]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 150291 | 150291
remit | remit | [C0439600] | [C0439600]| [ temporal concept ]  |  [ temporal concept ]  | 215214 | 215214
patient education | patient education | [C0030688] | [C0030688]| [ educational activity ]  |  [ educational activity ]  | 15186 | 15186
transparency | transparency | [C0522503] | [C0522503]| [ qualitative concept ]  |  [ qualitative concept ]  | 308038 | 308038
liver enzyme levels | liver enzyme levels | [C0428321] | [C0428321]| [ laboratory procedure ]  |  [ laboratory procedure ]  | 134081 | 134081
managers | managers | [C0335141] | [C0335141]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 185020 | 185020
vaccination | vaccination | [C0042196] | [C0042196]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 57318 | 57318
women | women | [C0043210] | [C0043210]| [ population group ]  |  [ population group ]  | 89060 | 89060
deferred | deferred | [C1554180, C1697785] | [C1554180, C1697785]| [ intellectual product ]  ;  [ functional concept ]  |  [ intellectual product ]  ;  [ functional concept ]  | 120232 | 120232
glaxosmithkline | glaxosmithkline | [C1552903] | [C1552903]| [ health care related organization ]  |  [ health care related organization ]  | 8819 | 8819
roth | roth | [C0152110] | [C0152110]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 106987 | 106987
protection | protection | [C1545588] | [C1545588]| [ finding ]  |  [ finding ]  | 166848 | 166848
sulphasalazine | sulphasalazine | [C0036078] | [C0036078]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 93362 | 93362
ton | ton | [C0439216] | [C0439216]| [ quantitative concept ]  |  [ quantitative concept ]  | 396 | 396
tom | tom | [C1826706] | [C1826706]| [ gene or genome ]  |  [ gene or genome ]  | 19500 | 19500
conjunction | conjunction | [C2699427] | [C2699427]| [ idea or concept ]  |  [ idea or concept ]  | 68225 | 68225
syndrome | syndrome | [C0039082] | [C0039082]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 134554 | 134554
too | too little | [C5206934] | [C3843661]| [ intellectual product ]  |  [ finding ]  | 83379 | 83379
tor | tor | [C1199517, C1419603] | [C1199517, C1419603]| [ fish ]  ;  [ gene or genome ]  |  [ fish ]  ;  [ gene or genome ]  | 5637 | 5637
2-3 | 2-3 times | [C1519042] | [C3840669]| [ research activity ]  |  [ finding ]  | 142864 | 142864
foot orthoses | foot orthoses | [C1283250] | [C1283250]| [ medical device ]  |  [ medical device ]  | 241248 | 241248
product | product | [C1254351] | [C1254351]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 1804 | 1804
question | question | [C1522634] | [C1522634]| [ intellectual product ]  |  [ intellectual product ]  | 8244 | 8244
occupational | occupational therapist | [C0521127] | [C0028807]| [ functional concept ]  |  [ professional or occupational group ]  | 135905 | 135905
drugs | drugs | [C0013227] | [C0013227]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 5064 | 5064
lover | lover | [C0699868] | [C0699868]| [ population group ]  |  [ population group ]  | 243718 | 243718
every four weeks | every four weeks | [C1275555] | [C1275555]| [ temporal concept ]  |  [ temporal concept ]  | 101141 | 101141
premier | premier | [C0309847] | [C0309847]| [ amino acid, peptide, or protein / pharmacologic substance / immunologic factor ]  |  [ amino acid, peptide, or protein / pharmacologic substance / immunologic factor ]  | 186843 | 186843
centocor | centocor | [C0470764] | [C0470764]| [ health care related organization ]  |  [ health care related organization ]  | 9862 | 9862
randomized controlled trial | randomized controlled trial | [C1096777] | [C1096777]| [ intellectual product ]  |  [ intellectual product ]  | 16522 | 16522
phase 3 | phase 3 | [C0439561] | [C0439561]| [ temporal concept ]  |  [ temporal concept ]  | 102775 | 102775
kinase inhibitor | kinase inhibitor | [C1171350] | [C1171350]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 169318 | 169318
comparator | comparator | [C1707454] | [C1707454]| [ manufactured object ]  |  [ manufactured object ]  | 15303 | 15303
phase 4 | phase 4 | [C0439562] | [C0439562]| [ temporal concept ]  |  [ temporal concept ]  | 101847 | 101847
anakinra | anakinra | [C0245109] | [C0245109]| [ amino acid, peptide, or protein / pharmacologic substance ]  |  [ amino acid, peptide, or protein / pharmacologic substance ]  | 26656 | 26656
phase 2 | phase 2 | [C0439560] | [C0439560]| [ temporal concept ]  |  [ temporal concept ]  | 113926 | 113926
comorbidity | comorbidity | [C0009488] | [C0009488]| [ finding ]  |  [ finding ]  | 151509 | 151509
hobbies | hobbies | [C0019826] | [C0019826]| [ daily or recreational activity ]  |  [ daily or recreational activity ]  | 275232 | 275232
markers | markers | [C2745888] | [C2745888]| [ medical device ]  |  [ medical device ]  | 99419 | 99419
screening for ischaemic heart disease | screening for ischaemic heart disease | [C0260954] | [C0260954]| [ finding ]  |  [ finding ]  | 202050 | 202050
thousand | thousand | [C1883310] | [C1883310]| [ quantitative concept ]  |  [ quantitative concept ]  | 172224 | 172224
holly | holly | [C1256218] | [C1256218]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 466098 | 466098
infect | infect dis | [C0439663] | [C0009450]| [ finding ]  |  [ disease or syndrome ]  | 118034 | 118034
com | com | [C0206008, C0279321] | [C0206008, C0279321]| [ organic chemical / pharmacologic substance ]  ;  [ therapeutic or preventive procedure ]  |  [ organic chemical / pharmacologic substance ]  ;  [ therapeutic or preventive procedure ]  | 750 | 750
col | col | [C1552844, C1704808] | [C1552844, C1704808]| [ intellectual product ]  ;  [ finding ]  |  [ intellectual product ]  ;  [ finding ]  | 105 | 105
inhibitors | inhibitors | [C0243077] | [C0243077]| [ chemical viewed functionally ]  |  [ chemical viewed functionally ]  | 66439 | 66439
con | con | [C4724102] | [C4724102]| [ intellectual product ]  |  [ intellectual product ]  | 968 | 968
minor | minor | [C1417837, C1446899] | [C1417837, C1446899]| [ gene or genome ]  ;  [ disease or syndrome ]  |  [ gene or genome ]  ;  [ disease or syndrome ]  | 53593 | 53593
urinary protein | urinary protein | [C1325413] | [C1325413]| [ molecular function ]  |  [ molecular function ]  | 149578 | 149578
findings | findings | [C3539655] | [C3539655]| [ intellectual product ]  |  [ intellectual product ]  | 11033 | 11033
upon | upon | [C1720176] | [C1720176]| [ functional concept ]  |  [ functional concept ]  | 31951 | 31951
cox | cox | [C0442996] | [C0442996]| [ intellectual product ]  |  [ intellectual product ]  | 138460 | 138460
employed | employed | [C0557351] | [C0557351]| [ finding ]  |  [ finding ]  | 4571 | 4571
prac | prac | [C1853292] | [C1853292]| [ gene or genome ]  |  [ gene or genome ]  | 896 | 896
less than | less than five | [C0439092] | [C4084795]| [ quantitative concept ]  |  [ finding ]  | 213207 | 213207
class iv | class iv | [C0441888] | [C0441888]| [ classification ]  |  [ classification ]  | 21412 | 21412
lag | lag | [C1416797] | [C1416797]| [ gene or genome ]  |  [ gene or genome ]  | 99310 | 99310
lai | lai | [C0443021] | [C0443021]| [ intellectual product ]  |  [ intellectual product ]  | 664 | 664
academic | academic | [C1510747] | [C1510747]| [ organization ]  |  [ organization ]  | 169043 | 169043
function | normal liver function tests | [C1315032] | [C0438235]| [ intellectual product ]  |  [ finding ]  | 61608 | 61595
range of motion | range of motion | [C0080078, C0150220] | [C0080078, C0150220]| [ clinical attribute ]  ;  [ therapeutic or preventive procedure ]  |  [ clinical attribute ]  ;  [ therapeutic or preventive procedure ]  | 240448 | 240448
lan | lan | [C1414026] | [C1414026]| [ gene or genome ]  |  [ gene or genome ]  | 3649 | 3649
west | west | [C1705493] | [C1705493]| [ spatial concept ]  |  [ spatial concept ]  | 3585 | 3585
alcohol intake | alcohol intake | [C0001948] | [C0001948]| [ individual behavior ]  |  [ individual behavior ]  | 155431 | 155431
clinicians | clinicians | [C0871685] | [C0871685]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 4718 | 4718
cpg | cpg | [C0056912] | [C0056912]| [ nucleic acid, nucleoside, or nucleotide / biologically active substance ]  |  [ nucleic acid, nucleoside, or nucleotide / biologically active substance ]  | 132078 | 132078
once weekly | once weekly | [C0558293] | [C0558293]| [ temporal concept ]  |  [ temporal concept ]  | 258064 | 258064
representative | representative | [C1882932] | [C1882932]| [ activity ]  |  [ activity ]  | 12172 | 12172
tower | tower | [C1710443] | [C1710443]| [ manufactured object ]  |  [ manufactured object ]  | 10577 | 10577
patient-reported outcomes | patient-reported outcomes | [C2987124] | [C2987124]| [ intellectual product ]  |  [ intellectual product ]  | 27127 | 27127
comparison | comparison | [C1707455] | [C1707455]| [ activity ]  |  [ activity ]  | 28405 | 28405
including | including | [C0332257] | [C0332257]| [ functional concept ]  |  [ functional concept ]  | 6451 | 6451
every 8 weeks | every 8 weeks | [C0585337] | [C0585337]| [ temporal concept ]  |  [ temporal concept ]  | 143250 | 143250
e48 | e48 | [C1421945] | [C1421945]| [ gene or genome ]  |  [ gene or genome ]  | 464679 | 464679
e47 | e47 | [C1336596] | [C1336596]| [ gene or genome ]  |  [ gene or genome ]  | 464434 | 464434
